Order,Name,Khmer,Geocode,number of Villages,District,Province,Latitude,Longitude
234,Moha Leaph,មហាលាភ,30804,10,Kaoh Soutin,Kampong Cham ,11.8431214,105.4213842
235,Moha Khnhoung,មហាខ្ញូង,30805,9,Kaoh Soutin,Kampong Cham ,11.9258562,105.3133259
236,Peam Prathnuoh,ពាមប្រធ្នោះ,30806,13,Kaoh Soutin,Kampong Cham ,11.8932438,105.4255716
237,Pongro,ពង្រ,30807,8,Kaoh Soutin,Kampong Cham ,11.885355,105.4397161
238,Preaek Ta Nong,ព្រែកតានង់,30808,13,Kaoh Soutin,Kampong Cham ,11.9030944,105.279623
239,Baray,បារាយណ៍,31301,13,Prey Chhor,Kampong Cham ,12.0838788,105.2426902
240,Boeng Nay,បឹងណាយ,31302,17,Prey Chhor,Kampong Cham ,12.1072806,105.1655876
241,Chrey Vien,ជ្រៃវៀន,31303,18,Prey Chhor,Kampong Cham ,12.0581791,105.2576474
242,Khvet Thum,ខ្វិតធំ,31304,8,Prey Chhor,Kampong Cham ,12.0596174,105.2173085
243,Kor,គរ,31305,10,Prey Chhor,Kampong Cham ,12.0581363,105.2576399
244,Krouch,ក្រូច,31306,7,Prey Chhor, ,12.0581322,105.2575753
245,Lvea,ល្វា,31307,10,Prey Chhor,Kampong Cham ,12.0581363,105.2576399
246,Mien,មៀន,31308,19,Prey Chhor,Kampong Cham ,12.0212606,105.3014109
247,Prey Chhor,ព្រៃឈរ,31309,4,Prey Chhor,Kampong Cham ,12.0581363,105.2576399
248,Sour Saen,សូរ្យសែន,31310,8,Prey Chhor,Kampong Cham ,12.0832937,105.1438075
249,Samraong,សំរោង,31311,11,Prey Chhor,Kampong Cham ,12.0245193,105.1348462
250,Sragnae,ស្រង៉ែ,31312,8,Prey Chhor,Kampong Cham ,12.0524527,105.1440155
251,Thma Pun,ថ្មពូន,31313,9,Prey Chhor,Kampong Cham ,12.161179,105.2477613
252,Tong Rong,តុងរ៉ុង,31314,10,Prey Chhor,Kampong Cham ,12.0381184,105.2092735
253,Trapeang Preah,ត្រពាំងព្រះ,31315,24,Prey Chhor,Kampong Cham ,12.1061415,105.2901571
254,Baray,បារាយណ៍,31401,4,Srei Santhor,Kampong Cham ,11.8505116,105.1942009
255,Chi Bal,ជីបាល,31402,5,Srei Santhor,Kampong Cham ,11.7492056,105.1083542
256,Khnar Sa,ខ្នារស,31403,5,Srei Santhor,Kampong Cham ,11.7935064,105.1083542
