Order,Name,Khmer,Geocode,District,Province,Latitude,Longitude
1134,Kbal Trach,ក្បាលត្រាច,150307,Krakor,Pursat ,12.5493579,104.204716
1135,Ou Sandan,អូរសណ្ដាន់,150308,Krakor,Pursat ,12.5493579,104.204716
1136,Sna Ansa,ស្នាអន្សា,150309,Krakor,Pursat ,12.5493579,104.204716
1137,Svay Sa,ស្វាយស,150310,Krakor,Pursat ,12.5493579,104.204716
1138,Tnaot Chum,ត្នោតជុំ,150311,Phnum Kravanh,Pursat ,12.3539333,103.7694692
1140,Leach,លាច,150402,Phnum Kravanh,Pursat ,12.3539333,103.7694692
1141,Prongil,ព្រងិល,150404,Phnum Kravanh,Pursat ,12.3539333,103.7694692
1142,Rokat,រកាត,150405,Phnum Kravanh,Pursat ,12.3539333,103.7694692
1143,Santreae,សន្ទ្រែ,150406,Phnum Kravanh,Pursat ,12.3539333,103.7694692
1144,Samraong,សំរោង,150407,Pursat,Pursat ,12.4651824,103.8911999
1145,Chamraeun Phal,ចំរើនផល,150501,Pursat,Pursat ,12.4651824,103.8911999
1150,Svay At,ស្វាយអាត់,150507,Pursat,Pursat ,12.4651824,103.8911999
1151,Banteay Dei,បន្ទាយដី,150508,Veal Veaeng,Pursat ,12.054292,103.2721197
